player,unreturned_pct,ace_rate,short_point_pct,pressure_serve_win_pct,pressure_return_win_pct,style_cluster,style_label
Ivo Karlovic,0.037898991702218894,0.19955140221949058,0.5186838743326251,0.7430394701003858,0.23879829716970263,2,All-Court Balanced
Ivo Minar,0.0,0.030360531309297913,0.2673262853528508,0.5225391986062717,0.15625,1,Baseline Grinder
Izak Van Der Merwe,0.0,0.0,0.1954156954156954,0.43369565217391304,0.28988095238095235,1,Baseline Grinder
J J Wolf,0.05748080849556433,0.04629354462020993,0.28407107325102177,0.5573825604205143,0.3520600885113946,0,Big-Serve Aggressor
Jack Brasington,0.0,0.054919295425624536,0.3232849832634374,0.6034024455077087,0.20863095238095236,1,Baseline Grinder
Jack Draper,0.06692976923449064,0.08937722243784404,0.3562798997072809,0.6472499401597127,0.37777263029317054,0,Big-Serve Aggressor
Jack Sock,0.03009047571345195,0.06865321032778543,0.36924607815964844,0.5899536012054983,0.29387487220567,2,All-Court Balanced
Jacob Fearnley,0.019432423555083757,0.07806888769154405,0.3581584627780441,0.7391792435437421,0.35718935744087427,2,All-Court Balanced
Jaime Faria,0.051820183280396566,0.16537304642308745,0.44429895598886576,0.6488038277511962,0.30231729055258466,0,Big-Serve Aggressor
Jaime Yzaga,0.00438326525283047,0.017244727599555042,0.19290062214554,0.5126154071338498,0.36256755336772456,3,Counter-Puncher
Jakob Hlasek,0.006688545085169559,0.053697648070010935,0.2822805936116507,0.5849036441595848,0.2554144473038482,3,Counter-Puncher
Jakub Mensik,0.0514835871367143,0.11584549037601748,0.3959684483445798,0.6765988436149479,0.35287262693678045,0,Big-Serve Aggressor
James Blake,0.0062446607449452435,0.06009649777405188,0.31204993513623563,0.578782944366224,0.3734984498360653,3,Counter-Puncher
James Duckworth,0.06302478403773656,0.07774861345875947,0.3754582202907845,0.6687179176824005,0.19602613332677127,0,Big-Serve Aggressor
James Mccabe,0.007711757269279393,0.10025284450063211,0.30028518507629437,0.5141557128412537,0.3400568181818182,2,All-Court Balanced
