player_name,date,surface,player_type,player_rank,player_rank_points,r_bp_created_mean,r_bp_converted_mean,r_bp_faced_mean,r_bp_saved_mean,r_bp_conv_rate,r_bp_save_rate,r_win_rate,r_matches_played
Seong Chan Hong,2024-07-29,Hard,All-Court Balanced,175.0,343.0,6.5,2.6666666666666665,9.5,5.916666666666667,0.41025641025641024,0.6228070175438597,0.25,12.0
Vasek Pospisil,2024-08-05,Hard,All-Court Balanced,610.0,53.0,5.5,2.05,5.55,3.4,0.37272727272727274,0.6126126126126126,0.45,20.0
Brandon Holt,2024-08-12,Hard,Counter-Puncher,227.0,255.0,6.75,2.875,10.125,6.25,0.42592592592592593,0.6172839506172839,0.25,8.0
Nicolas Mejia,2024-08-19,Hard,Counter-Puncher,235.0,245.0,4.777777777777778,1.8888888888888888,6.888888888888889,3.5555555555555554,0.3953488372093023,0.5161290322580645,0.1111111111111111,9.0
Federico Coria,2024-08-26,Hard,Counter-Puncher,79.0,714.0,6.85,2.95,8.25,4.25,0.4306569343065693,0.5151515151515151,0.35,20.0
Constant Lestienne,2024-08-26,Hard,All-Court Balanced,111.0,527.0,6.55,2.9,9.6,5.25,0.44274809160305345,0.546875,0.2,20.0
Diego Schwartzman,2024-08-26,Hard,Counter-Puncher,244.0,236.0,5.6,2.1,8.35,4.35,0.375,0.5209580838323353,0.2,20.0
Jan Choinski,2024-08-26,Hard,Counter-Puncher,276.0,199.0,5.777777777777778,2.4444444444444446,10.777777777777779,7.555555555555555,0.4230769230769231,0.7010309278350515,0.2222222222222222,9.0
Albert Ramos,2024-08-26,Hard,Counter-Puncher,122.0,483.0,5.65,2.4,8.1,4.3,0.4247787610619469,0.5308641975308642,0.25,20.0
Camilo Ugo Carabelli,2024-08-26,Hard,Counter-Puncher,93.0,608.0,5.416666666666667,2.9166666666666665,11.25,6.666666666666667,0.5384615384615384,0.5925925925925926,0.3333333333333333,12.0
Sebastian Ofner,2024-08-26,Hard,Counter-Puncher,58.0,904.0,7.1,2.8,8.7,5.25,0.39436619718309857,0.603448275862069,0.4,20.0
Christopher Eubanks,2024-08-26,Hard,Big-Serve Aggressor,106.0,545.0,4.5,1.55,6.25,3.75,0.34444444444444444,0.6,0.35,20.0
Hugo Grenier,2024-08-26,Hard,All-Court Balanced,173.0,341.0,6.35,2.4,8.85,4.9,0.3779527559055118,0.5536723163841808,0.3,20.0
Soon Woo Kwon,2024-08-26,Hard,All-Court Balanced,340.0,145.0,6.25,2.2,7.7,4.85,0.352,0.6298701298701299,0.35,20.0
Radu Albot,2024-08-26,Hard,Counter-Puncher,138.0,424.0,7.75,3.05,8.75,5.05,0.3935483870967742,0.5771428571428572,0.4,20.0
Max Purcell,2024-08-26,Hard,All-Court Balanced,97.0,585.0,5.45,1.9,5.7,3.45,0.3486238532110092,0.6052631578947368,0.5,20.0
Sebastian Korda,2024-08-26,Hard,Big-Serve Aggressor,16.0,2545.0,6.95,2.55,4.4,2.9,0.3669064748201439,0.6590909090909091,0.75,20.0
Francisco Comesana,2024-08-26,Hard,All-Court Balanced,108.0,532.0,6.6,2.6,9.2,5.5,0.3939393939393939,0.5978260869565217,0.4,10.0
Tomas Barrios Vera,2024-09-12,Hard,Baseline Grinder,162.0,370.0,5.25,1.85,9.3,5.75,0.3523809523809524,0.6182795698924731,0.35,20.0
Mackenzie Mcdonald,2024-09-13,Hard,Counter-Puncher,149.0,387.0,7.05,2.95,7.55,3.65,0.41843971631205673,0.48344370860927155,0.25,20.0
Hugo Dellien,2024-09-13,Clay,Counter-Puncher,106.0,529.0,5.25,2.15,7.65,4.25,0.4095238095238095,0.5555555555555556,0.3,20.0
Aziz Dougaz,2024-09-13,Clay,Unknown,228.0,252.0,7.777777777777778,3.3333333333333335,8.88888888888889,5.333333333333333,0.42857142857142855,0.6,0.5555555555555556,9.0
Aqeel Khan,2024-09-14,Hard,Unknown,,,5.166666666666667,2.3333333333333335,9.583333333333334,6.583333333333333,0.45161290322580644,0.6869565217391305,0.5833333333333334,12.0
Darian King,2024-09-14,Hard,Counter-Puncher,1230.0,6.0,8.85,3.95,8.45,4.9,0.4463276836158192,0.5798816568047337,0.5,20.0
Marcelo Arevalo,2024-09-14,Clay,All-Court Balanced,,,9.615384615384615,5.153846153846154,5.615384615384615,3.3076923076923075,0.536,0.589041095890411,0.7692307692307693,13.0
Elliot Benchetrit,2024-09-14,Clay,All-Court Balanced,670.0,44.0,5.6,1.8,8.3,3.9,0.32142857142857145,0.46987951807228917,0.2,10.0
Benjamin Balleret,2024-09-14,Clay,Baseline Grinder,,,6.230769230769231,2.6923076923076925,9.461538461538462,5.076923076923077,0.43209876543209874,0.5365853658536586,0.23076923076923078,13.0
Jose Rubin Statham,2024-09-14,Hard,Baseline Grinder,837.0,23.0,6.294117647058823,1.9411764705882353,7.705882352941177,4.0588235294117645,0.308411214953271,0.5267175572519084,0.23529411764705882,17.0
Cristian Garin,2024-09-15,Hard,Counter-Puncher,115.0,508.0,7.2,2.45,7.35,4.75,0.3402777777777778,0.6462585034013606,0.45,20.0
Norbert Gombos,2024-09-15,Hard,Big-Serve Aggressor,408.0,114.0,5.85,2.1,7.35,4.15,0.358974358974359,0.564625850340136,0.3,20.0
Jozef Kovalik,2024-09-15,Hard,Counter-Puncher,113.0,511.0,6.8,2.5,9.05,5.55,0.36764705882352944,0.6132596685082873,0.4,20.0
Marco Trungelliti,2024-09-18,Hard,Counter-Puncher,138.0,423.0,5.45,2.05,8.0,4.75,0.3761467889908257,0.59375,0.35,20.0
Mitchell Krueger,2024-09-18,Hard,Baseline Grinder,140.0,409.0,5.0,2.0,6.45,3.95,0.4,0.6124031007751938,0.35,20.0
Yasutaka Uchiyama,2024-09-18,Hard,All-Court Balanced,160.0,370.0,6.85,2.0,8.25,5.15,0.291970802919708,0.6242424242424243,0.25,20.0
Chun Hsin Tseng,2024-09-18,Hard,All-Court Balanced,121.0,489.0,4.95,1.6,6.8,3.95,0.32323232323232326,0.5808823529411765,0.25,20.0
Adam Walton,2024-09-18,Hard,Counter-Puncher,94.0,604.0,6.0,1.9230769230769231,6.923076923076923,4.3076923076923075,0.32051282051282054,0.6222222222222222,0.23076923076923078,13.0
Yannick Hanfmann,2024-09-18,Hard,Big-Serve Aggressor,95.0,594.0,6.75,1.9,4.6,2.85,0.2814814814814815,0.6195652173913043,0.6,20.0
Alibek Kachmazov,2024-09-18,Hard,Unknown,252.0,226.0,8.375,3.125,6.25,2.75,0.373134328358209,0.44,0.5,8.0
Shintaro Mochizuki,2024-09-25,Hard,Counter-Puncher,146.0,408.0,5.833333333333333,1.8333333333333333,8.722222222222221,4.666666666666667,0.3142857142857143,0.535031847133758,0.16666666666666666,18.0
Billy Harris,2024-10-02,Hard,Baseline Grinder,106.0,552.0,5.857142857142857,1.4285714285714286,5.642857142857143,4.071428571428571,0.24390243902439024,0.7215189873417721,0.5714285714285714,14.0
Li Tu,2024-10-02,Hard,Counter-Puncher,191.0,304.0,3.7777777777777777,1.3333333333333333,5.888888888888889,3.2222222222222223,0.35294117647058826,0.5471698113207547,0.1111111111111111,9.0
Yoshihito Nishioka,2024-10-02,Hard,Counter-Puncher,60.0,854.0,6.75,2.65,6.25,4.0,0.3925925925925926,0.64,0.6,20.0
Rinky Hijikata,2024-10-02,Hard,Counter-Puncher,78.0,718.0,6.65,2.65,9.25,5.2,0.39849624060150374,0.5621621621621622,0.4,20.0
Ramkumar Ramanathan,2024-10-02,Hard,Baseline Grinder,332.0,153.0,5.5,1.5,5.35,2.95,0.2727272727272727,0.5514018691588785,0.25,20.0
Reilly Opelka,2024-10-02,Hard,Big-Serve Aggressor,309.0,167.0,4.45,1.2,5.1,3.3,0.2696629213483146,0.6470588235294118,0.45,20.0
Luca Nardi,2024-10-02,Hard,Counter-Puncher,89.0,649.0,5.45,1.95,8.05,4.55,0.3577981651376147,0.5652173913043478,0.25,20.0
Pablo Carreno Busta,2024-10-02,Hard,Counter-Puncher,203.0,287.0,7.2,3.05,7.7,4.7,0.4236111111111111,0.6103896103896104,0.45,20.0
Egor Gerasimov,2024-10-02,Hard,All-Court Balanced,304.0,170.0,5.85,2.0,6.9,3.65,0.3418803418803419,0.5289855072463768,0.3,20.0
Mattia Bellucci,2024-10-02,Hard,Big-Serve Aggressor,101.0,574.0,6.857142857142857,2.0714285714285716,7.857142857142857,5.285714285714286,0.3020833333333333,0.6727272727272727,0.42857142857142855,14.0
Terence Atmane,2024-10-02,Hard,Baseline Grinder,161.0,369.0,5.769230769230769,2.4615384615384617,7.846153846153846,4.615384615384615,0.4266666666666667,0.5882352941176471,0.3076923076923077,13.0
Yi Zhou,2024-10-02,Hard,All-Court Balanced,440.0,97.0,6.777777777777778,2.888888888888889,6.777777777777778,3.6666666666666665,0.4262295081967213,0.5409836065573771,0.4444444444444444,9.0
Zachary Svajda,2024-10-02,Hard,Baseline Grinder,131.0,452.0,6.85,2.35,8.05,4.45,0.34306569343065696,0.5527950310559007,0.3,20.0
