match_id,year,slam,surface,focus_player,opponent,opponent_type,n_points,win_rate,momentum_mean,momentum_std,momentum_end,big_wins,big_losses
2023-usopen-1116,2023,usopen,Hard,Jannik Sinner,Yannick Hanfmann,Unknown,174,0.5862068965517241,8.156555333277716,10.052464406454321,7.198664745161887,92,59
2023-usopen-1208,2023,usopen,Hard,Jannik Sinner,Lorenzo Sonego,Unknown,155,0.5870967741935483,5.922861012895024,10.681698072371796,11.627630512603542,85,56
2023-usopen-1304,2023,usopen,Hard,Jannik Sinner,Stan Wawrinka,Unknown,231,0.5281385281385281,1.252809951822946,11.288147542369762,8.05129887083979,111,100
2023-usopen-1402,2023,usopen,Hard,Jannik Sinner,Alexander Zverev,Unknown,322,0.4813664596273292,1.3218044651864487,9.761745130204762,-10.306894764913155,135,134
2023-wimbledon-1133,2023,wimbledon,Grass,Jannik Sinner,Juan Manuel Cerundolo,Unknown,145,0.6344827586206897,9.071915179022561,7.892242867285854,-0.048800714082059216,76,46
2023-wimbledon-1217,2023,wimbledon,Grass,Jannik Sinner,Diego Schwartzman,Grinder,164,0.5914634146341463,3.8814852255991474,10.476965804932803,5.372993391176069,74,59
2023-wimbledon-1309,2023,wimbledon,Grass,Jannik Sinner,Quentin Halys,Unknown,213,0.539906103286385,3.6238041586152714,8.614205308830474,1.5747189954842664,94,71
2023-wimbledon-1405,2023,wimbledon,Grass,Jannik Sinner,Daniel Elahi Galan,Unknown,215,0.5581395348837209,6.910007078835861,9.107485354839497,-1.6563490756304757,101,73
2023-wimbledon-1503,2023,wimbledon,Grass,Jannik Sinner,Roman Safiullin,Unknown,193,0.5595854922279793,4.697914632187423,11.215880780262355,20.0,84,60
2023-wimbledon-1602,2023,wimbledon,Grass,Jannik Sinner,Novak Djokovic,Unknown,202,0.4752475247524752,0.21774944824002146,9.09787906348949,-9.457606748911452,71,83
2024-usopen-1101,2024,usopen,Hard,Jannik Sinner,Mackenzie McDonald,Unknown,192,0.5677083333333334,3.0922594641957626,11.969190615789852,-2.2333005838179174,103,78
2024-usopen-1201,2024,usopen,Hard,Jannik Sinner,Alex Michelsen,Unknown,138,0.6159420289855072,8.943704760966428,7.835061617342531,13.459185385152182,78,46
2024-usopen-1301,2024,usopen,Hard,Jannik Sinner,Christopher O'Connell,Unknown,149,0.6174496644295302,6.615089422363576,10.100318061538752,15.226082696729772,80,52
2024-usopen-1401,2024,usopen,Hard,Jannik Sinner,Tommy Paul,Unknown,209,0.5550239234449761,3.7361091395244417,9.749439485032187,15.12278378362273,108,87
2024-usopen-1501,2024,usopen,Hard,Jannik Sinner,Daniil Medvedev,Unknown,206,0.558252427184466,3.098630602482894,11.884850495281723,-20.0,104,83
2024-usopen-1601,2024,usopen,Hard,Jannik Sinner,Jack Draper,Unknown,227,0.5682819383259912,7.433496194037057,9.312064419323645,18.7036498441937,116,87
2024-usopen-1701,2024,usopen,Hard,Jannik Sinner,Taylor Fritz,Unknown,175,0.5485714285714286,2.60430200569419,11.283732610428876,2.2271953801466493,85,70
2024-wimbledon-1101,2024,wimbledon,Grass,Jannik Sinner,Yannick Hanfmann,Unknown,240,0.5333333333333333,1.6327477541823734,10.810289021513846,1.5637861636692438,100,88
2024-wimbledon-1201,2024,wimbledon,Grass,Jannik Sinner,Matteo Berrettini,Unknown,297,0.5252525252525253,4.978725487094301,10.826966216615604,-6.4710389521122735,117,84
2024-wimbledon-1301,2024,wimbledon,Grass,Jannik Sinner,Miomir Kecmanovic,Unknown,140,0.6,7.6209026944813205,8.134186499851474,6.042996582940701,63,43
2024-wimbledon-1401,2024,wimbledon,Grass,Jannik Sinner,Ben Shelton,Unknown,186,0.5591397849462365,3.7449202547649785,11.34070426763155,3.6534348842955504,76,57
2024-wimbledon-1501,2024,wimbledon,Grass,Jannik Sinner,Daniil Medvedev,Unknown,324,0.5061728395061729,2.369205156707713,11.284474494896132,-13.129517708926254,119,106
