entity_name,role,surface,rally_bucket,n_points,rally_advantage,avg_actual,avg_expected
Alessandro Giannessi,Server,Hard,10+,6,-0.27055200420217607,0.16666666666666666,0.43721867086884275
Alessandro Giannessi,Server,Hard,4-6,6,0.35019819187203227,0.8333333333333334,0.48313514146130104
Alessandro Giannessi,Server,Hard,7-9,7,0.13717268794844392,0.5714285714285714,0.4342558834801275
Alex Barrena,Server,Clay,0-3,26,0.09585808669061444,0.6923076923076923,0.5964496056170779
Alex Barrena,Server,Clay,10+,3,-0.1009804089963338,0.3333333333333333,0.4343137423296672
Alex Barrena,Server,Clay,4-6,15,-0.0888716942337394,0.4,0.48887169423373944
Alex Barrena,Server,Clay,7-9,6,0.22311898640692,0.6666666666666666,0.4435476802597467
Alex Bogdanovic,Server,Grass,0-3,34,0.08508380966343944,0.7058823529411765,0.6207985432777371
Alex Bogdanovic,Server,Grass,10+,4,0.07535391257706792,0.5,0.4246460874229321
Alex Bogdanovic,Server,Grass,4-6,16,-0.04908826754276599,0.4375,0.48658826754276596
Alex Bogdanovic,Server,Grass,7-9,11,-0.29299286668230373,0.18181818181818182,0.4748110485004856
Alex Bogomolov Jr,Server,Hard,0-3,22,0.022253847923501647,0.6363636363636364,0.6141097884401346
Alex Bogomolov Jr,Server,Hard,10+,2,-0.4844915904417544,0.0,0.4844915904417544
Alex Bogomolov Jr,Server,Hard,4-6,15,-0.11970770659543341,0.3333333333333333,0.45304103992876676
Alex Bogomolov Jr,Server,Hard,7-9,12,0.048851599948287174,0.5,0.4511484000517128
Alex Bolt,Server,Hard,0-3,132,-0.04253707172346864,0.6212121212121212,0.6637491929355899
Alex Bolt,Server,Hard,10+,8,0.12821038313742245,0.625,0.49678961686257755
Alex Bolt,Server,Hard,4-6,63,-0.04238586781673412,0.49206349206349204,0.5344493598802262
Alex Bolt,Server,Hard,7-9,33,-0.011872897478927117,0.48484848484848486,0.4967213823274119
Alex Corretja,Server,Clay,0-3,472,-0.020307376136943833,0.6292372881355932,0.6495446642725371
Alex Corretja,Server,Clay,10+,196,0.035710297620940926,0.5153061224489796,0.4795958248280387
Alex Corretja,Server,Clay,4-6,322,0.011144866018503615,0.5434782608695652,0.5323333948510616
Alex Corretja,Server,Clay,7-9,197,0.04478943975181654,0.5329949238578681,0.48820548410605147
Alex Corretja,Server,Hard,0-3,281,0.052596955036776194,0.7046263345195729,0.6520293794827968
Alex Corretja,Server,Hard,10+,84,0.09447249305177105,0.5833333333333334,0.4888608402815623
Alex Corretja,Server,Hard,4-6,133,0.06881297841130594,0.6015037593984962,0.5326907809871904
Alex Corretja,Server,Hard,7-9,75,-0.08853363623562496,0.41333333333333333,0.5018669695689583
Alex De Minaur,Server,Clay,0-3,462,-0.027946439872780643,0.6212121212121212,0.6491585610849019
Alex De Minaur,Server,Clay,10+,161,0.015318566466986242,0.4968944099378882,0.481575843470902
Alex De Minaur,Server,Clay,4-6,311,0.010428681032582897,0.5498392282958199,0.539410547263237
Alex De Minaur,Server,Clay,7-9,176,-0.050658467923058455,0.4431818181818182,0.4938402861048766
Alex De Minaur,Server,Grass,0-3,515,0.038804466105465826,0.7029126213592233,0.6641081552537574
Alex De Minaur,Server,Grass,10+,122,-0.025980446520148633,0.4672131147540984,0.49319356127424696
Alex De Minaur,Server,Grass,4-6,261,0.053293774047537684,0.6015325670498084,0.5482387930022707
Alex De Minaur,Server,Grass,7-9,131,-0.02964170799631284,0.48091603053435117,0.510557738530664
Alex De Minaur,Server,Hard,0-3,2982,0.030500427733239296,0.6904761904761905,0.6599757627429512
Alex De Minaur,Server,Hard,10+,1051,0.05004741167532592,0.5394862036156042,0.48943879194027823
Alex De Minaur,Server,Hard,4-6,1717,0.004863106833276048,0.5515433896330809,0.5466802827998049
Alex De Minaur,Server,Hard,7-9,941,0.04298023410791181,0.5441020191285866,0.5011217850206748
